0,0
114611,0
-1,0
51399,0
-1,0
51416,0
-1,0
51725,0
-1,0
51726,0
-1,0
51763,256
-1,256
51764,256
-1,256
51765,0
-1,0
51766,0
-1,0
52086,0
-1,0
52087,0
-1,0
52153,0
0,0
52150,0
0,0
52149,0
0,0
52151,0
0,0
52146,0
0,0
52152,0
0,0
52148,0
0,0
52147,0
0,0
52145,0
-1,0
52166,0
-1,0
53341,0
-1,0
53348,0
-1,0
53430,0
0,0
53427,0
0,0
53428,0
0,0
53424,0
0,0
53426,0
0,0
53429,0
0,0
53425,0
0,0
53423,0
0,0
53422,0
-1,0
53449,2
-1,2
54042,0
-1,0
54043,0
-1,0
54087,0
54088,0
0,0
54094,0
0,0
54090,0
0,0
54091,0
0,0
54089,0
0,0
54092,0
0,0
54093,0
0,0
54086,0
-1,0
54118,0
-1,0
54690,0
-1,0
54700,0
-1,0
54751,0
54752,0
0,0
0,0
54754,0
0,0
54755,0
0,0
54753,0
0,0
54758,0
0,0
54757,0
0,0
54756,0
0,0
54750,0
-1,0
54771,0
-1,0
55093,0
-1,0
55103,0
-1,0
55156,0
0,0
55157,0
0,0
55159,0
0,0
55158,0
0,0
55163,0
0,0
55160,0
0,0
55161,0
0,0
55162,0
0,0
55155,0
-1,0
55176,0
-1,0
55888,0
-1,0
55892,0
-1,0
55939,256
-1,256
55940,256
-1,256
55941,0
-1,0
55942,0
-1,0
56063,0
-1,0
56064,0
-1,0
56123,0
56124,0
0,0
0,0
56126,0
0,0
56127,0
0,0
56125,0
0,0
56130,0
0,0
56128,0
0,0
56129,0
0,0
56122,0
-1,0
56143,0
-1,0
56692,0
-1,0
56699,0
-1,0
56746,256
-1,256
56747,256
-1,256
56748,0
-1,0
56749,0
-1,0
57072,0
-1,0
57076,0
-1,0
57123,256
-1,256
57124,256
-1,256
57125,0
-1,0
57126,0
-1,0
57247,0
-1,0
57254,0
-1,0
57299,0
0,0
57296,0
0,0
57297,0
0,0
57295,0
0,0
57293,0
0,0
57298,0
0,0
57292,0
0,0
57294,0
0,0
57291,0
-1,0
57312,0
-1,0
57604,0
-1,0
57611,0
-1,0
57659,0
57660,0
0,0
57662,0
0,0
57661,0
57666,0
0,0
57663,0
0,0
57664,0
0,0
57665,0
0,0
57658,0
-1,0
57679,0
-1,0
57849,0
-1,0
57850,0
-1,0
57904,0
0,0
57900,0
0,0
57901,0
0,0
57902,0
0,0
57897,0
0,0
57899,0
0,0
57903,0
0,0
57898,0
0,0
57896,0
-1,0
57928,0
-1,0
